timestamp,open,high,low,close,volume
2025-04-08 00:00:00+05:30,1765.0,1782.0,1750.3,1769.15,17781936
2025-04-09 00:00:00+05:30,1765.0,1775.0,1753.5,1765.0,11227304
2025-04-11 00:00:00+05:30,1774.75,1819.4,1774.75,1806.75,16387883
2025-04-15 00:00:00+05:30,1865.0,1876.8,1855.0,1864.9,24649172
2025-04-16 00:00:00+05:30,1883.8,1883.8,1860.5,1878.0,9568410
2025-04-17 00:00:00+05:30,1882.0,1919.7,1876.7,1906.7,17851542
2025-04-21 00:00:00+05:30,1924.0,1950.7,1910.0,1927.1,17123649
2025-04-22 00:00:00+05:30,1935.0,1970.6,1935.0,1961.7,22980875
2025-04-23 00:00:00+05:30,1978.9,1978.9,1920.5,1923.9,15285321
2025-04-24 00:00:00+05:30,1910.0,1923.9,1905.1,1916.8,12965877
2025-04-25 00:00:00+05:30,1924.8,1933.0,1891.8,1911.2,9250439
2025-04-28 00:00:00+05:30,1911.2,1929.7,1908.4,1920.2,6960246
2025-04-29 00:00:00+05:30,1918.8,1928.8,1900.2,1908.8,9459154
2025-04-30 00:00:00+05:30,1913.0,1936.9,1910.3,1925.0,15968435
2025-05-02 00:00:00+05:30,1929.8,1941.9,1920.0,1925.0,11406024
2025-05-05 00:00:00+05:30,1939.0,1952.0,1932.3,1936.8,7534012
2025-05-06 00:00:00+05:30,1930.0,1940.1,1924.3,1931.7,8745078
2025-05-07 00:00:00+05:30,1934.0,1948.7,1922.4,1945.6,10710389
