timestamp,open,high,low,close,volume
2025-04-08 00:00:00+05:30,3302.05,3349.0,3255.3,3292.95,5557558
2025-04-09 00:00:00+05:30,3260.55,3270.0,3212.05,3246.6,2990265
2025-04-11 00:00:00+05:30,3289.55,3298.95,3206.0,3231.5,7108961
2025-04-15 00:00:00+05:30,3314.4,3314.4,3238.6,3248.2,3512160
2025-04-16 00:00:00+05:30,3248.2,3278.1,3229.0,3273.8,2384391
2025-04-17 00:00:00+05:30,3245.5,3303.6,3218.0,3298.9,2932346
2025-04-21 00:00:00+05:30,3290.1,3354.0,3284.1,3321.6,2432946
2025-04-22 00:00:00+05:30,3322.6,3333.9,3295.0,3314.4,2710498
2025-04-23 00:00:00+05:30,3365.0,3420.9,3337.3,3413.0,3543923
2025-04-24 00:00:00+05:30,3401.1,3412.5,3387.7,3401.6,2252175
2025-04-25 00:00:00+05:30,3420.0,3477.8,3405.0,3448.0,2742991
2025-04-28 00:00:00+05:30,3435.0,3457.8,3405.0,3443.5,1593296
2025-04-29 00:00:00+05:30,3455.0,3495.0,3430.4,3472.5,1578332
2025-04-30 00:00:00+05:30,3472.0,3509.9,3366.0,3453.7,2809332
2025-05-02 00:00:00+05:30,3472.0,3491.5,3420.0,3444.7,2115624
2025-05-05 00:00:00+05:30,3450.0,3504.5,3446.4,3454.3,1284443
2025-05-06 00:00:00+05:30,3460.0,3473.0,3437.0,3460.0,1324763
2025-05-07 00:00:00+05:30,3420.6,3459.5,3420.6,3445.1,1477128
